Easting [m,Northig [m,Hydro_FT-2D_MAP 2010 [m]
4572934.91,5306077.03,1.01
4572944.13,5306008.17,1.30
4572931.39,5306039.10,0.88
4572942.05,5305970.95,0.35
4572925.78,5306146.09,0.05
4572927.53,5306183.37,-0.77
4572928.56,5306220.40,-0.42
4572923.28,5306108.53,0.73
4572920.12,5306070.73,0.83
4572929.17,5306001.83,0.46
4572916.28,5306032.71,1.16
4572911.65,5306140.03,0.42
4572913.79,5306177.46,0.06
4572915.17,5306214.62,-0.71
4572915.85,5306251.52,-0.54
4572908.84,5306102.36,0.53
4572905.39,5306064.48,0.92
4572897.56,5306133.99,0.32
4572900.02,5306171.53,0.14
4572901.80,5306208.83,0.10
4572902.82,5306245.86,-0.67
4572898.72,5306287.91,-0.47
4572881.58,5306324.30,-0.31
4572894.50,5306096.25,0.58
4572883.61,5306128.01,0.23
4572886.28,5306165.62,-0.06
4572888.39,5306203.03,-0.20
4572889.81,5306240.20,0.24
4572885.43,5306282.15,-0.48
4572864.45,5306360.70,-0.08
4572868.04,5306318.44,-0.29
4572847.31,5306397.09,0.11
4572872.72,5306159.78,-0.14
4572875.01,5306197.25,-0.37
4572876.75,5306234.53,-0.46
4572872.16,5306276.39,0.25
4572850.66,5306354.73,-0.06
4572854.52,5306312.58,0.23
4572830.18,5306433.48,0.17
4572833.27,5306391.02,0.10
4572861.83,5306191.55,-0.41
4572863.73,5306228.87,-0.81
4572858.86,5306270.62,-0.54
4572836.87,5306348.76,0.21
4572840.97,5306306.71,-0.63
4572816.02,5306463.83,-0.20
4572815.88,5306427.31,0.23
4572819.22,5306384.95,0.13
4572850.94,5306223.32,-0.88
4572845.58,5306264.86,-0.89
4572823.07,5306342.80,-0.69
4572827.43,5306300.84,-0.94
4572801.86,5306494.19,-0.42
4572801.77,5306457.69,-0.45
4572787.70,5306524.54,-1.17
4572773.54,5306554.89,-1.43
4572801.58,5306421.13,0.03
4572805.18,5306378.89,-0.79
4572832.49,5306259.18,-0.70
4572809.27,5306336.83,-0.91
4572814.04,5306295.05,-0.57
4572787.67,5306488.08,-0.52
4572787.58,5306451.57,-0.22
4572773.57,5306518.46,-1.22
4572759.38,5306585.25,-1.64
4572759.46,5306548.85,-1.40
4572787.28,5306414.97,-0.93
4572791.12,5306372.81,-0.91
4572795.60,5306330.91,-0.41
4572773.58,5306482.01,-0.47
4572773.33,5306445.44,-1.09
4572759.59,5306512.45,-0.76
4572745.22,5306615.60,-1.95
4572745.36,5306579.23,-1.63
4572745.59,5306542.89,-1.01
4572772.97,5306408.80,-1.26
4572777.15,5306366.78,-0.12
4572759.39,5306475.91,-1.15
4572759.07,5306439.30,-1.03
4572745.44,5306506.38,-1.15
4572732.27,5306653.90,-2.03
4572731.26,5306609.62,-1.85
4572731.60,5306573.33,-1.22
4572731.49,5306536.85,-0.97
4572758.70,5306402.64,0.66
4572745.18,5306469.80,-0.73
4572744.85,5306433.17,1.02
