X,Y,Zexp
0.7,2.230775285,0.057
0.7,2.24176435,0.062
0.7,2.252753415,0.061
0.7,2.26374248,0.06
0.7,2.274731545,0.06
0.7,2.285720611,0.06
0.7,2.296709676,0.059
0.7,2.307698741,0.055
0.7,2.318687806,0.053
0.7,2.329676871,0.053
0.7,2.340665936,0.055
0.7,2.351655001,0.056
0.7,2.362644066,0.052
0.7,2.373633131,0.051
0.7,2.384622196,0.05
0.7,2.395611261,0.049
0.7,2.406600326,0.049
0.7,2.417589391,0.049
0.7,2.428578456,0.046
0.7,2.439567521,0.045
0.7,2.450556586,0.045
0.7,2.461545651,0.044
0.7,2.472534716,0.042
0.7,2.483523781,0.042
0.7,2.494512846,0.043
0.7,2.505501911,0.04
0.7,2.516490977,0.037
0.7,2.527480042,0.036
0.7,2.538469107,0.037
0.7,2.549458172,0.037
0.7,2.560447237,0.038
0.7,2.571436302,0.039
0.7,2.582425367,0.039
0.7,2.593414432,0.038
0.7,2.604403497,0.037
0.7,2.615392562,0.036
0.7,2.626381627,0.036
0.7,2.637370692,0.037
0.7,2.648359757,0.036
0.7,2.659348822,0.036
0.7,2.670337887,0.036
0.7,2.681326952,0.036
0.7,2.692316017,0.036
0.7,2.703305082,0.036
0.7,2.714294147,0.036
0.7,2.725283212,0.036
0.7,2.736272277,0.036
0.7,2.747261343,0.036
0.7,2.758250408,0.036
0.7,2.769239473,0.036
0.7,2.780228538,0.036
0.7,2.791217603,0.036
0.7,2.802206668,0.036
0.7,2.813195733,0.035
0.7,2.824184798,0.034
0.7,2.835173863,0.034
0.7,2.846162928,0.033
0.7,2.857151993,0.034
0.7,2.868141058,0.034
0.7,2.879130123,0.034
0.7,2.890119188,0.034
0.7,2.901108253,0.034
0.7,2.912097318,0.035
0.7,2.923086383,0.035
0.7,2.934075448,0.035
0.7,2.945064513,0.035
0.7,2.956053578,0.034
0.7,2.967042643,0.034
0.7,2.978031709,0.033
0.7,2.989020774,0.034
0.7,3.000009839,0.033
0.8,0.875000062,0.034
0.8,0.885922392,0.034
0.8,0.896844721,0.034
0.8,0.907767051,0.034
0.8,0.91868938,0.033
0.8,0.92961171,0.033
0.8,0.940534039,0.033
0.8,0.951456369,0.033
0.8,0.962378698,0.033
0.8,0.973301028,0.033
0.8,0.984223357,0.033
0.8,0.995145687,0.034
0.8,1.006068016,0.035
0.8,1.016990346,0.035
0.8,1.027912675,0.034
0.8,1.038835005,0.033
0.8,1.049757334,0.034
0.8,1.060679664,0.035
0.8,1.071601993,0.035
0.8,1.082524323,0.035
0.8,1.093446652,0.035
0.8,1.104368982,0.036
0.8,1.115291311,0.036
0.8,1.126213641,0.035
0.8,1.13713597,0.035
0.8,1.1480583,0.035
0.8,1.158980629,0.035
0.8,1.169902959,0.035
0.8,1.180825288,0.035
0.8,1.191747618,0.036
0.8,1.202669947,0.036
0.8,1.213592277,0.036
0.8,1.224514606,0.036
0.8,1.235436936,0.036
0.8,1.246359265,0.037
0.8,1.257281595,0.037
0.8,1.268203924,0.037
0.8,1.279126254,0.037
0.8,1.290048583,0.037
0.8,1.300970913,0.036
0.8,1.311893242,0.037
0.8,1.322815572,0.036
0.8,1.333737901,0.036
0.8,1.344660231,0.036
0.8,1.35558256,0.036
0.8,1.36650489,0.036
0.8,1.377427219,0.037
0.8,1.388349549,0.037
0.8,1.399271878,0.037
0.8,1.410194208,0.037
0.8,1.421116537,0.037
0.8,1.432038866,0.037
0.8,1.442961196,0.037
0.8,1.453883525,0.038
0.8,1.464805855,0.037
0.8,1.475728184,0.038
0.8,1.486650514,0.038
0.8,1.497572843,0.038
0.8,1.508495173,0.037
0.8,1.519417502,0.037
0.8,1.530339832,0.037
0.8,1.541262161,0.037
0.8,1.552184491,0.038
0.8,1.56310682,0.039
0.8,1.57402915,0.04
0.8,1.584951479,0.04
0.8,1.595873809,0.04
0.8,1.606796138,0.04
0.8,1.617718468,0.041
0.8,1.628640797,0.042
0.8,1.639563127,0.043
0.8,1.650485456,0.043
0.8,1.661407786,0.044
0.8,1.672330115,0.044
0.8,1.683252445,0.044
0.8,1.694174774,0.044
0.8,1.705097104,0.046
0.8,1.716019433,0.049
0.8,1.726941763,0.05
0.8,1.737864092,0.051
0.8,1.748786422,0.052
0.8,1.759708751,0.054
0.8,1.770631081,0.057
0.8,1.78155341,0.059
0.8,1.79247574,0.061
0.8,1.803398069,0.063
0.8,1.814320399,0.065
0.8,1.825242728,0.07
0.8,1.836165058,0.073
0.8,1.847087387,0.074
0.8,1.858009717,0.07
0.8,1.868932046,0.067
0.8,1.879854376,0.066
0.8,1.890776705,0.064
0.8,1.901699035,0.061
0.8,1.912621364,0.062
0.8,1.923543694,0.058
0.8,1.934466023,0.056
0.8,1.945388353,0.053
0.8,1.956310682,0.048
0.8,1.967233012,0.045
0.8,1.978155341,0.041
0.8,1.989077671,0.038
0.8,2,0.039
0.8,2.010922329,0.042
0.8,2.021844659,0.047
0.8,2.032766988,0.049
0.8,2.043689318,0.047
0.8,2.054611647,0.045
0.8,2.065533977,0.043
0.8,2.076456306,0.043
0.8,2.087378636,0.041
0.8,2.098300965,0.041
0.8,2.109223295,0.041
0.8,2.120145624,0.043
0.8,2.131067954,0.043
0.8,2.141990283,0.043
0.8,2.152912613,0.046
0.8,2.163834942,0.047
0.8,2.174757272,0.05
0.8,2.185679601,0.053
0.8,2.196601931,0.055
0.8,2.20752426,0.059
0.8,2.21844659,0.062
0.8,2.229368919,0.067
0.8,2.240291249,0.072
0.8,2.251213578,0.074
